Name,786O_shARNT_1 - linear total reads,786O_shARNT_2 - linear total reads,786O_shARNT_3 - linear total reads,786O_shBMAL1_1 - linear total reads,786O_shBMAL1_2 - linear total reads,786O_shBMAL1_3 - linear total reads,786O_shBMAL2_1 - linear total reads,786O_shBMAL2_2 - linear total reads,786O_shBMAL2_3 - linear total reads,786O_shCNT_1 - linear total reads,786O_shCNT_2 - linear total reads,786O_shCNT_3 - linear total reads
ERMP1,2692.613563,2711.763883,2865.404598,2890.267663,3102.794604,2809.089865,721.3382614,544.8666171,558.2125658,2771.003477,2828.693304,2713.938847
KIAA2026,1106.688877,1153.221659,1092.063323,1018.254215,1061.15984,1102.931102,1112.231062,786.4149312,1043.247686,1097.447204,1200.021069,1130.29733
MLANA,2.964345207,0.995873626,1.009300669,0,0,0,1.007455672,0,3.752689518,2.028553057,0,0
RANBP6,985.1507239,993.8818786,1009.300669,759.9062675,970.2616438,773.4453668,1509.168597,1274.12126,1362.226295,1097.447204,973.5638498,989.393056
IL33,4.940575345,1.991747252,3.027902006,0,0,0,0,0,0,0,0,1.021045465
LOC107987046,0.988115069,1.991747252,3.027902006,0,3.063984138,3.98170073,1.007455672,1.843880261,1.876344759,0,1.01096973,2.042090931
UHRF2,1576.043535,1457.958988,1538.174219,1416.877025,1577.951831,1677.291433,1409.430486,1340.50095,1283.419815,1635.013764,1509.377807,1679.619791
GLDC,83.0016658,68.71528019,64.59524279,72.66036024,52.08773035,76.64773905,68.50698572,64.53580913,67.54841132,40.57106115,64.70206271,36.75763676
LOC105375968,0,0.995873626,0,0,0,0.995425183,0,0,0,2.028553057,0,0
KDM4C,1069.140505,1115.378461,1130.416749,1116.143867,1176.569909,1313.961241,954.0605217,1018.743844,1069.516513,1043.690548,1268.767011,1026.150693
LOC105375969,2.964345207,0,2.018601337,0,1.021328046,1.990850365,2.014911345,0,0.938172379,0,0,0
TMEM261,791.4801703,771.8020601,770.0964101,785.1355593,852.8089185,843.1251296,665.9281994,1042.714287,984.142826,834.7495832,846.1816638,843.3835545
PTPRD,2201.520374,1862.28368,1915.652669,2476.507278,2635.026359,2599.055152,1765.062338,1475.104209,1543.293564,1773.969649,2069.455037,1858.302747
PTPRD-AS1,117.5856932,137.4305604,127.1718842,126.1464588,132.772646,69.67976278,82.61136513,41.48730587,87.25003129,84.18495189,101.096973,92.91513735
LOC105375975,0,0,0,0,0,0.995425183,0,0,0,0,0,0
TYRP1,0,1.991747252,1.009300669,8.07337336,9.191952415,5.972551095,1.007455672,1.843880261,0.938172379,2.028553057,2.02193946,0
LURAP1L-AS1,0,0.995873626,6.055804012,1.00917167,3.063984138,7.96340146,17.12674643,8.297461173,18.76344759,4.057106115,8.087757838,6.126272793
LURAP1L,717.3715402,689.1445491,688.343056,503.5766634,544.3678486,521.6027956,348.5796626,237.8605536,263.6264386,421.939036,451.9034692,395.1445951
SNORD137,0.988115069,0.995873626,0,0,4.085312184,2.986275548,0,1.843880261,5.629034277,3.042829586,0,1.021045465
LOC107987047,0,0,0,0,1.021328046,0,0,0,0,0,0,0
MPDZ,869.5412608,764.8309447,834.6916529,796.2364477,816.0411088,860.0473577,541.003696,736.6301642,759.9196273,833.7353066,785.52348,715.7528713
LOC101929507,0,0,0,0,0,0,0,2.765820391,0,0,0,0
NFIB,1121.510603,1015.791098,1100.137729,1329.079089,1444.157857,1415.49461,608.5032261,406.5755975,452.1990869,884.4491331,885.6094833,997.5614197
TRH-GTG1-6,0,0,0,0,0,0,0,0,0,1.014276529,0,0
ZDHHC21,664.0133264,655.2848458,692.3802587,667.0624739,811.9557966,775.4362172,864.3969668,602.9488453,729.8981112,555.8235377,555.0223817,568.7223242
TTC39B,247.0287673,286.8116043,276.5483832,215.9627374,325.8036467,304.6001059,317.3485368,236.9386135,210.150613,410.7819941,443.8157114,467.6388232
SNAPC3,692.6686634,612.4622799,686.3244546,631.7414655,692.4604152,593.2734088,732.4202738,753.2250865,994.4627222,727.2362711,639.943839,671.8479163
PSIP1,2001.92113,1977.805021,2007.49903,2408.892776,2636.047687,2336.262903,1573.64576,2486.472532,2846.414999,2311.536209,2257.495407,2480.119436
CCDC171,93.87093156,95.60386809,77.71615148,80.7337336,71.49296322,77.64316424,44.32804958,90.35013278,95.6935827,68.97080395,99.07503352,70.45213712
LOC107987049,0,0,0,0,2.042656092,0.995425183,0,0,0,0,0,0
C9orf92,0,0.995873626,1.009300669,1.00917167,0,0,1.007455672,0.92194013,1.876344759,0,0,0
LOC107987050,0.988115069,0.995873626,0,0,2.042656092,0.995425183,1.007455672,0,2.814517138,1.014276529,1.01096973,1.021045465
BNC2,770.7297539,895.2903897,717.6127754,579.2645386,599.519563,607.2093613,994.3587486,822.3705963,804.9519015,631.8942774,715.7665687,531.9646875
LOC105375983,0,0,0,0,0,0.995425183,2.014911345,0,0,0,0,0
CNTLN,332.0066632,396.3577031,383.5342541,380.4577196,449.3843403,446.945907,352.6094853,531.0375151,643.5862523,278.9260454,349.7955265,293.0400486
LOC107987051,0,1.991747252,0,1.00917167,3.063984138,0,0,0,2.814517138,0,0,0
SH3GL2,0,0,0,3.02751501,0,0,0,0,2.814517138,2.028553057,0,0
