"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP13",2549.58010599527,4.86645379438075,0.0954284683997517,50.9958283517145,0,0
"CFH",14879.5604622648,2.21174435520982,0.0726668174776792,30.4367857569817,1.79192494474441e-203,1.24646299156421e-199
"OAS2",599.766317026767,-4.09236603140352,0.141529518410326,-28.9152826729675,7.6715369418699e-184,3.55754739784313e-180
"PDZK1",4395.20092507485,2.23483852856888,0.078232317350545,28.5666921836787,1.74285753884989e-179,6.06165852011993e-176
"HABP2",3197.48665241516,2.91312614355241,0.10216468933733,28.5140214534766,7.85074508907025e-179,2.18439131358291e-175
"PAPLN",3138.90880892943,2.07992100568919,0.0734219570949204,28.3283242232327,1.54821700427696e-176,3.58979916058352e-173
"OLFML2B",2108.01428389763,-2.50170128978388,0.0886996125633703,-28.2041963598947,5.19413348243231e-175,1.03229692867998e-171
"OAS3",2382.64425257904,-2.04191870195327,0.0740783021260264,-27.5643291402581,2.98012230090722e-167,5.18243268127765e-164
"CDH6",29794.171870589,1.73439288521622,0.0629902035256108,27.5343273737961,6.81808759861427e-167,1.05392482968802e-163
"LAMA5",2940.85529825023,2.08874033318571,0.0768677084577405,27.1731833183767,1.34779179808752e-162,1.87504794949936e-159
"CDH16",1226.11599748432,2.32150992699532,0.0883812304004763,26.2670016753106,4.57083846774445e-152,5.78086406938735e-149
"OAS1",1057.20336582079,-2.9817498053198,0.119692840940693,-24.9116804470975,5.5595286294027e-137,6.44534685768752e-134
"FOLR1",1707.63260100855,1.99690323601507,0.0825445135549974,24.1918348054057,2.71158517099048e-129,2.90181329990919e-126
"NEAT1",11372.2719289619,1.61328687471652,0.0681028251191816,23.6889860573805,4.68303133283385e-124,4.65359513588461e-121
"CPE",2619.2465853545,1.76080107848,0.0780719708094914,22.5535625682698,1.23899107089031e-112,1.1491229185484e-109
"HELZ2",2295.37430227068,-1.68442755589488,0.0750643767982127,-22.4397727356472,1.61065775872785e-111,1.40046692121386e-108
"ANXA4",19508.9574395225,1.45342057865554,0.0649630128477996,22.3730475995738,7.2043111135162e-111,5.89566918889631e-108
"AQP3",331.934243779501,4.65837244804266,0.208925166263403,22.296846911059,3.9647034602781e-110,3.06427525218827e-107
"SLCO4A1",25373.0650688265,-1.70604166221734,0.0766243497751957,-22.2650067142182,8.07104925048059e-110,5.90970721961505e-107
"SERPINF2",321.242424264457,3.8654900389996,0.175082880321596,22.0780582995858,5.1368710951946e-108,3.57320753381737e-105
"PTPRF",16404.9185592542,-1.39114846933166,0.0642989953379161,-21.6356175088061,8.30302498734242e-104,5.50055636304323e-101
"ATOH8",767.903079837662,2.23457414823844,0.103938538459383,21.4989952847151,1.59094924735e-102,1.00605845132424e-99
"C1QTNF3-AMACR",4733.11823098336,1.72740061950073,0.0803679083373598,21.4936615278033,1.7846710291143e-102,1.07949318943644e-99
"VAV3",2373.7683165986,1.8157412246642,0.0846070764904814,21.4608671045202,3.61498962230782e-102,2.09548898439776e-99
"SLC37A2",1471.82670515104,-1.71874442974749,0.0810103571431929,-21.2163541843108,6.74562296290909e-100,3.75380426639965e-97
"MMP7",559.928514921852,2.52263040951783,0.11937870899314,21.1313259357059,4.09874691939454e-99,2.19314489010065e-96
"PRMT1",5854.98002803859,-1.42423149920649,0.0683546696929413,-20.8359063924138,2.0460516180732e-96,1.0542470411346e-93
"CFI",2274.97767016171,2.03805921638922,0.0978839400823028,20.8211808257368,2.78243869362532e-96,1.38247453948984e-93
"SEMA5B",4682.7522671358,1.6757687207895,0.0815371031770944,20.5522229205251,7.3518441572641e-94,3.52685710054683e-91
"BCAM",861.932291678278,2.04453231492754,0.100503133119751,20.3429709250104,5.3584070828807e-92,2.48487197790121e-89
"SIK1",1958.58100250358,-1.62426641093307,0.0801795038201568,-20.2578755610201,3.02746387642253e-91,1.35864765963839e-88
"ATP1B1",18144.4112873394,1.48144661786469,0.0731765363433292,20.2448310878511,3.94533758909339e-91,1.71523551685835e-88
"SPP1",37985.8847068253,1.30531418481052,0.0658760018427016,19.8147147413005,2.22264029731606e-87,9.37011267159424e-85
"EGR1",676.309138048768,2.2980291147107,0.118680859470226,19.3630980173953,1.58086196666317e-83,6.46851520006413e-81
"CAMK1",2114.64308136836,1.42303306438295,0.0735195199926741,19.3558535818073,1.81955316585393e-83,7.23246389810282e-81
"NR1H4",400.771938658127,2.57605373175078,0.133781141520432,19.255731431753,1.26377337410022e-82,4.88378199457841e-80
"OSTM1",1529.13601829524,-2.03673011663356,0.106109039090683,-19.1946900479697,4.0992071359591e-82,1.54130188312062e-79
"FLJ22447",676.617064366732,2.20472829832739,0.115884740971574,19.025182089057,1.05520168928187e-80,3.86314892139193e-78
"COL14A1",836.521793704453,1.77724374114447,0.0942038655042137,18.8659322166029,2.17403284976873e-79,7.75516538614938e-77
"SLC2A2",277.810184249759,6.16224558217786,0.327310458472652,18.8269131726897,4.54492927259884e-79,1.58072640100988e-76
"ITIH2",230.346664503699,5.40185703838856,0.287070529949031,18.817177225916,5.46179220915915e-79,1.85327934667859e-76
"PLS3",6479.94610413722,-1.38933442501775,0.0738776009889612,-18.8058952432057,6.7571743067786e-79,2.23823354656914e-76
"ITIH5",3203.91617084664,1.42478755005669,0.0761274688709773,18.7158140312199,3.67956628400618e-78,1.19046804983939e-75
"CACNA2D1",1045.55580090134,1.94288116072663,0.10403136420537,18.6759173597989,7.77427062438485e-78,2.4580830210555e-75
"TSPAN12",931.497991136814,1.77090017500326,0.0950547722811985,18.6303131605475,1.82453641912303e-77,5.64065570285323e-75
