id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NR1D1	244.281624212093	-2.39936261593545	0.190480215112437	-12.5963875803015	2.21038299686509e-36	3.07420067203997e-32
HSPH1	835.740571974044	1.05997638853188	0.101508619963253	10.44223031419	1.59029766585292e-25	1.10589299683412e-21
HSPA1A	511.642324650788	1.23340026048509	0.132204619395424	9.32947930356342	1.06392284327305e-20	4.93234630141388e-17
HSPA1B	604.419563650339	1.25520197973949	0.146667462595068	8.55814887317547	1.14694196413227e-17	3.9879172092879e-14
CHORDC1	192.818174009114	0.915607789113993	0.113524596231618	8.06528117700525	7.30675012192008e-16	2.03244561391329e-12
RN7SL2	27.000431043238	-23.9430168223715	3.07814704853727	-7.77838629696045	7.3455479682629e-15	1.70269801904334e-11
HSPA5	9059.4756530982	0.63081903097832	0.084719428439943	7.44597836168716	9.62285789099597e-14	1.91192439354246e-10
HNRNPDL	2641.2811058435	-0.419968752624549	0.0579083425404593	-7.25230138181085	4.09748861892561e-13	7.12348396400218e-10
HSPA8	9504.69201889624	0.557631008086719	0.0878204166836249	6.3496739043678	2.15771821369367e-10	3.33439387956128e-07
NR1D2	169.928223325158	-0.884503161928998	0.145477991173822	-6.07997921054714	1.20198130907137e-09	1.67171560465646e-06
DNAJB1	554.464737419931	0.581542261944548	0.0968129852534103	6.00686220368422	1.89148138757202e-09	2.3915202853047e-06
STIP1	845.558361775153	0.635984809167972	0.10829045180391	5.87295369604332	4.28098077572737e-09	4.96165671906802e-06
DBET	13.6826151277804	-2.86570649691459	0.500264889506666	-5.72837821926818	1.01395302401941e-08	1.08477374292784e-05
INTS8	594.084265336524	0.38731759998501	0.0687737353924511	5.63176622259672	1.7837336486667e-08	1.77201197040403e-05
ANGPTL4	816.08697261049	-1.58031673689468	0.283846748670017	-5.56749987202376	2.58420267903105e-08	2.39607272399759e-05
INTS6	468.60815570796	0.404864407153375	0.0737281812839961	5.49131146466049	3.9896006097951e-08	3.46796033006439e-05
DNAJA1	1794.28163473131	0.4835500368325	0.091568434827633	5.28075026883148	1.28655952855348e-07	0.000105255705430128
FKBP4	708.337092832996	0.518453881593241	0.0992308874763485	5.22472281341647	1.74416188267907e-07	0.000134765574801669
TBXAS1	143.337518167498	-0.599946842197237	0.115594659353077	-5.19009135504032	2.10190930466321e-07	0.000153859761101347
CRY1	139.245470048514	0.551945103485635	0.109627500801381	5.03473215617337	4.78517432763582e-07	0.000332761022743795
BCL3	282.606804855917	0.580572515101408	0.116451868539653	4.98551480866722	6.17970456398351e-07	0.000409273005123251
CAMK4	319.122138543282	0.454099836464653	0.0926593147116781	4.90074676116098	9.54730567530938e-07	0.000603563306055468
PDK4	16.3419314836561	-2.17287859096877	0.44446520987094	-4.88874841655146	1.01479084158768e-06	0.000613639609773975
PARL	425.606191101763	-0.375336800746515	0.077322815551829	-4.85415330608246	1.20902181385874e-06	0.000700628141131143
SRSF10	961.343335492009	0.281252684659052	0.0585563270746386	4.80311349276662	1.56217279734171e-06	0.000869067970617141
RSRP1	1594.64675755585	0.503312699404847	0.106516932889844	4.72518956141325	2.29900796859316e-06	0.00122979241643053
ASUN	307.731146488404	0.399123535122542	0.0853312609716328	4.67734251876607	2.90616604157528e-06	0.00134603245182094
BET1	256.099235718016	0.494743331147887	0.105922497001536	4.67080502398574	3.00021613506249e-06	0.00134603245182094
FOS	19.5706088619038	-1.33301684079163	0.283731539836265	-4.69816235995787	2.62512717674389e-06	0.00134603245182094
GLS	1477.71710384813	0.481988829363181	0.103099095811043	4.6750053972011	2.93945888905089e-06	0.00134603245182094
KIF14	68.6361820555352	0.801236601325033	0.171269072158737	4.67823286029379	2.89357833196668e-06	0.00134603245182094
RAB11B	534.679029776899	-0.327151017800564	0.0705291232685027	-4.63852381313614	3.50906509605802e-06	0.00152512741737422
TRA2A	457.037129807835	0.341787778077674	0.0739342342057516	4.62286222004427	3.78481122997821e-06	0.00159512589656172
HSPE1	616.642486038999	0.468553012190786	0.101803152604133	4.60253931440396	4.17370745995379e-06	0.00170729186332463
HSPD1	2235.83524789549	0.405745626797392	0.0886114477894966	4.57893011477786	4.67360303310956e-06	0.00176500918797854
RAB11B-AS1	79.0069794562277	-0.686032868631992	0.149855874082387	-4.57795113359941	4.69552343652618e-06	0.00176500918797854
TRIP11	177.959686877474	0.393154232895566	0.085789622416601	4.58277145674309	4.58853457625488e-06	0.00176500918797854
CEMIP	15.2520042990694	-1.60302415976462	0.350885851324058	-4.56850612162233	4.91212725310934e-06	0.00179783857463802
BIRC3	608.116866519221	0.671394292324035	0.150180222124167	4.47059061990822	7.80038835427505e-06	0.00278173849310916
HP1BP3	2582.86392063636	0.346855329373247	0.0779205868058029	4.45139524215462	8.53141499036116e-06	0.00296637299214857
CIB2	36.2414306238384	-0.720758172046227	0.166071487800193	-4.34004766015824	1.42451816487035e-05	0.0048322435700041
MSI2	33.8419803176165	-0.861573151860765	0.200621725369629	-4.2945157124603	1.75075082605959e-05	0.00579748630686591
MTRR	520.721326528852	0.316492159516366	0.0738031297021962	4.28832978755029	1.80021673908367e-05	0.00582265451329668
PCIF1	462.350296038209	-0.257303239780314	0.0608930452335724	-4.22549469801281	2.38416438659517e-05	0.00753612688381038
JUN	1004.60922956299	0.326217352290534	0.0774288567413772	4.21312371148839	2.51863021548111e-05	0.00778424645264696
METTL4	93.4896821024139	0.54107799046389	0.128923828382198	4.19688119142609	2.70615802853241e-05	0.00818200996974537
